[01:24:00] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:24:03] [main/INFO]: Reloading ResourceManager: Default
[01:24:12] [Worker-Main-2/INFO]: Loaded 7 recipes
[01:24:16] [Worker-Main-2/INFO]: Loaded 927 advancements
[01:24:27] [Server thread/INFO]: Starting minecraft server version 1.16.5
[01:24:27] [Server thread/INFO]: Loading properties
[01:24:27] [Server thread/INFO]: Default game type: SURVIVAL
[01:24:27] [Server thread/INFO]: Generating keypair
[01:24:28] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:24:29] [Server thread/INFO]: Using epoll channel type
[01:24:30] [Server thread/INFO]: Preparing level "world"
[01:25:19] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[01:25:19] [User Authenticator #1/INFO]: UUID of player _TMML_STAT1C is 010aec51-fd2f-456d-9438-dca0f5929b1e
[01:25:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
